ID,Variant ID,Product ID,Variant Name,Product Name,Managed Variant,SKU,Stock,Choices,Media,Collections
00258bc3-87a9-476f-a95d-2a8a16580f67-00000000-0000-0001-0005-a632373f9639,00000000-0000-0001-0005-a632373f9639,00258bc3-87a9-476f-a95d-2a8a16580f67,20g,CANELA EN POLVO,TRUE,10467,"{""trackQuantity"":true,""quantity"":0,""inStock"":false}","{""Peso"":""20g""}",wix:image://v1/6138ec_1cc0f9440ae04989ab183509a57d3748~mv2.jpeg/file.jpg#originWidth=1000&originHeight=1000,"[""c5c8fd0c-e430-4d49-9fee-b8ec24ac3ce3"",""2b69dd50-781f-79d1-3a39-6e4ec06f47b7"",""feb8d643-31db-3942-946d-8900ac0476c9""]"
00258bc3-87a9-476f-a95d-2a8a16580f67-00000000-0000-0002-0005-a632373f9639,00000000-0000-0002-0005-a632373f9639,00258bc3-87a9-476f-a95d-2a8a16580f67,500g,CANELA EN POLVO,TRUE,366,"{""trackQuantity"":true,""quantity"":0,""inStock"":false}","{""Peso"":""500g""}",wix:image://v1/6138ec_1cc0f9440ae04989ab183509a57d3748~mv2.jpeg/file.jpg#originWidth=1000&originHeight=1000,"[""c5c8fd0c-e430-4d49-9fee-b8ec24ac3ce3"",""2b69dd50-781f-79d1-3a39-6e4ec06f47b7"",""feb8d643-31db-3942-946d-8900ac0476c9""]"
00689dec-4249-0e0c-0c06-22342c023da2-1b50a918-0a42-4505-89d0-f9ea3d7415f1,1b50a918-0a42-4505-89d0-f9ea3d7415f1,00689dec-4249-0e0c-0c06-22342c023da2,440g,GELATINA SABOR UVA,TRUE,101017,"{""trackQuantity"":true,""quantity"":7,""inStock"":true}","{""Peso"":""440g""}",wix:image://v1/ec5950_29286211dc6d4f81ba14b0480b632066~mv2.jpg/file.jpg#originWidth=2000&originHeight=3000,"[""c13aa2bb-f5d3-463d-93ed-d9138c9f8de9""]"
00689dec-4249-0e0c-0c06-22342c023da2-d8f5dde5-9da4-4687-918c-3226ff3f9751,d8f5dde5-9da4-4687-918c-3226ff3f9751,00689dec-4249-0e0c-0c06-22342c023da2,5kg,GELATINA SABOR UVA,TRUE,101016,"{""trackQuantity"":true,""quantity"":6,""inStock"":true}","{""Peso"":""5kg""}",wix:image://v1/ec5950_29286211dc6d4f81ba14b0480b632066~mv2.jpg/file.jpg#originWidth=2000&originHeight=3000,"[""c13aa2bb-f5d3-463d-93ed-d9138c9f8de9""]"
0286fdcc-b65c-4d35-92ab-987d6703458c-00000000-0000-0001-0005-a5db13b601db,00000000-0000-0001-0005-a5db13b601db,0286fdcc-b65c-4d35-92ab-987d6703458c,Grande,CAJA PASTILLAJE PALOMA,TRUE,1300167,"{""trackQuantity"":true,""quantity"":21,""inStock"":true}","{""Tamaño"":""Grande""}",wix:image://v1/6138ec_3de528dd389846d4a85cce01af9ae63b~mv2.jpg/file.jpg#originWidth=900&originHeight=900,"[""af011547-dcd9-4f41-889b-81e26d9f0954""]"
0286fdcc-b65c-4d35-92ab-987d6703458c-00000000-0000-0002-0005-a5db13b601db,00000000-0000-0002-0005-a5db13b601db,0286fdcc-b65c-4d35-92ab-987d6703458c,Pequeño,CAJA PASTILLAJE PALOMA,TRUE,1300168,"{""trackQuantity"":true,""quantity"":15,""inStock"":true}","{""Tamaño"":""Pequeño""}",wix:image://v1/6138ec_3de528dd389846d4a85cce01af9ae63b~mv2.jpg/file.jpg#originWidth=900&originHeight=900,"[""af011547-dcd9-4f41-889b-81e26d9f0954""]"
02a3c684-3b50-4f42-a42d-6290a9f5da8d-00000000-0000-0001-0005-a6042318cb49,00000000-0000-0001-0005-a6042318cb49,02a3c684-3b50-4f42-a42d-6290a9f5da8d,500g,CHOCOCHIPS NEGRO,TRUE,101011,"{""trackQuantity"":true,""quantity"":119,""inStock"":true}","{""Peso"":""500g""}",wix:image://v1/6138ec_bcb22b9b2b3c456094ea07edf19d02ae~mv2.jpg/file.jpg#originWidth=1000&originHeight=667,"[""45eb7623-0ab9-4c2f-bd06-fd2c42bb568d"",""feb8d643-31db-3942-946d-8900ac0476c9""]"
02a3c684-3b50-4f42-a42d-6290a9f5da8d-263981c1-aea8-4856-8da9-034b6529d77f,263981c1-aea8-4856-8da9-034b6529d77f,02a3c684-3b50-4f42-a42d-6290a9f5da8d,2kg,CHOCOCHIPS NEGRO,TRUE,101004,"{""trackQuantity"":true,""quantity"":0,""inStock"":false}","{""Peso"":""2kg""}",wix:image://v1/6138ec_bcb22b9b2b3c456094ea07edf19d02ae~mv2.jpg/file.jpg#originWidth=1000&originHeight=667,"[""45eb7623-0ab9-4c2f-bd06-fd2c42bb568d"",""feb8d643-31db-3942-946d-8900ac0476c9""]"
02f8ab64-5b6c-443c-ac58-c6c831ac3fea-00000000-0000-0001-0005-a5ddd1a1d30e,00000000-0000-0001-0005-a5ddd1a1d30e,02f8ab64-5b6c-443c-ac58-c6c831ac3fea,10mL,COLOR GEL CAFE CHOCOLATE,TRUE,7.50225E+12,"{""trackQuantity"":true,""quantity"":149,""inStock"":true}","{""Cantidad"":""10mL""}",wix:image://v1/6138ec_2808e074c05d48dcbdd36cc2fdf30c46~mv2.jpg/file.jpg#originWidth=900&originHeight=900,"[""67a7aab4-d0ca-4362-9748-78ac78df1b2e"",""51c00051-a98a-3d45-6779-08e27de0ff8e""]"
02f8ab64-5b6c-443c-ac58-c6c831ac3fea-de826903-f2f2-4477-bccb-3cd50c76a5f5,de826903-f2f2-4477-bccb-3cd50c76a5f5,02f8ab64-5b6c-443c-ac58-c6c831ac3fea,270mL,COLOR GEL CAFE CHOCOLATE,TRUE,7.50225E+12,"{""trackQuantity"":true,""quantity"":0,""inStock"":false}","{""Cantidad"":""270mL""}",wix:image://v1/6138ec_2808e074c05d48dcbdd36cc2fdf30c46~mv2.jpg/file.jpg#originWidth=900&originHeight=900,"[""67a7aab4-d0ca-4362-9748-78ac78df1b2e"",""51c00051-a98a-3d45-6779-08e27de0ff8e""]"
